scene,sound ID,actor,dialog
intro,intro_001,narrator,"In a few seconds, a young man will arrive at this bus stop."
intro,intro_001,narrator,"Here he comes"
intro,intro_001,narrator,"His name is Nathan"
intro,intro_001,narrator,"He was sent here by the University of B. to search for a man called Dr. Coppelius, who disappeared about one year ago."
intro,intro_001,narrator,"Although he arrived much later than he expected, Nathan begins his search for the mysterious Coppelius."
intro,intro_001,narrator,"With nothing but a photograph of the doctor's house, the young man starts his journey through the dusky landscape."
intro,intro_001,narrator,"Little does he expect that at the end of the path adventure is waiting for him ..."
photo,photo_001,copellius,"Yes, the members of the Smith Institute for Advanced Research."
photo,photo_002,copellius,"Among us were leading scientists from all over the world, who together made the most stunning discoveries."
photo,photo_003,copellius,"Do you recognize the man in the background?"
photo,photo_004,copellius,"Right, it's Vincent."
photo,photo_005,copellius,"He was the reason the group split up in the end."
photo,photo_006,copellius,"He tried to convince us to use our inventions to overthrow the government."
photo,photo_007,copellius,"Of course we declined. We then decided to cease our official researches."
photo,photo_008,copellius,"Vincent disappeared."
photo,photo_009,copellius,"Years passed and I slowly lost contact with my colleagues. In his last message, Professor Smith wrote only one line..."
photo,photo_010,copellius,"Vincent is back."
finale,finale_001,nora,"Who are you?!"
finale,finale_002,nora,"What do you want?"
finale,finale_003,vincent,"Don't worry! I just want to know..."
finale,finale_004,vincent,"What Makes You Tick?!"
cliff,lib/cliff_voice.swf:cliff_000,nathan,"That was scary, hu?"
cliff,lib/cliff_voice.swf:cliff_001,nathan,"But don't worry, I'm still alive!"
cliff,lib/cliff_voice.swf:cliff_002,nathan,"Thank goodness I was thrown out of the pod seconds before it hit the ground."
cliff,lib/cliff_voice.swf:cliff_003,nathan,"Now I need to get back to the lab and free Dr. Coppelius!"
cliff,lib/cliff_voice.swf:cliff_004,nathan,"That was scary, uh?"
cliff,lib/cliff_voice.swf:cliff_007,nathan,"Now I should get back to the house and free Dr. Coppelius!"
cliff,lib/cliff_voice.swf:cliff_008,nathan,"There's a lighthouse off in the distance... but no light."
cliff,lib/cliff_voice.swf:cliff_009,nathan,"A boat is at anchor in the bay."
cliff,lib/cliff_voice.swf:cliff_010,nathan,"There's an old pier on the other side of the bay."
cliff,lib/cliff_voice.swf:cliff_011,nathan,"There's a piece of string caught in the branches."
cliff,lib/cliff_voice.swf:cliff_012,nathan,"A piece of string can be useful!"
cliff,lib/cliff_voice.swf:cliff_013,nathan,"It's a sundial."
cliff,lib/cliff_voice.swf:cliff_014,nathan,"There's no sunlight, so I can't tell what time it is."
cliff,lib/cliff_voice.swf:cliff_015,nathan,"He's asleep. It seems that my sedatives worked."
cliff,lib/cliff_voice.swf:cliff_016,nathan,"I guess I can take the key now."
cliff,lib/cliff_voice.swf:cliff_017,nathan,"Okay, I have the key."
cliff,lib/cliff_voice.swf:cliff_019,nathan,"No. He deserves some rest."
ferry,lib/ferry_voice.swf:ferry_000,nathan,"Over there is a lighthouse."
ferry,lib/ferry_voice.swf:ferry_001,nathan,"It's too far away. They wouldn't hear me."
ferry,lib/ferry_voice.swf:ferry_002,nathan,"I don't think I'll hike over there ..."
ferry,lib/ferry_voice.swf:ferry_003,nathan,"It was a massive stone bridge. It's collapsed."
ferry,lib/ferry_voice.swf:ferry_004,nathan,"I think that way leads to that village I saw on the map at home ... Ravenhollow."
ferry,lib/ferry_voice.swf:ferry_005,nathan,"I can't cross the bridge."
ferry,lib/ferry_voice.swf:ferry_006,nathan,"Ah, the sea."
ferry,lib/ferry_voice.swf:ferry_007,nathan,"No, the water looks really cold."
ferry,lib/ferry_voice.swf:ferry_008,nathan,"I've never done this before..."
ferry,lib/ferry_voice.swf:ferry_009,nathan,"I guess I won't need that stupid fishing rod anymore."
ferry,lib/ferry_voice.swf:ferry_010,sailor,"I would have paid fifty bucks for it."
ferry,lib/ferry_voice.swf:ferry_011,nathan,"I'll just pretend like I didn't hear that."
ferry,lib/ferry_voice.swf:ferry_012,nathan,"I'll need to bait the hook before I can try fishing."
ferry,lib/ferry_voice.swf:ferry_013,nathan,"I'll need a float and bait before I can try fishing."
ferry,lib/ferry_voice.swf:ferry_014,nathan,"This fishing tackle is still incomplete."
ferry,lib/ferry_voice.swf:ferry_016,nathan,"Seems like there was a ferry coming here once."
ferry,lib/ferry_voice.swf:ferry_017,nathan,"Must have been a long time ago. I can't read the timetable anymore."
ferry,lib/ferry_voice.swf:ferry_018,nathan,"I can't read it. Even if I could it would still be useless."
ferry,lib/ferry_voice.swf:ferry_019,nathan,"I'm sure the ferry doesn't come here anymore."
ferry,lib/ferry_voice.swf:ferry_020,nathan,"It's a leaflet from the local fishing club."
ferry,lib/ferry_voice.swf:ferry_021,nathan,"I'll take it. I doubt anyone else needs it."
ferry,lib/ferry_voice.swf:ferry_022,nathan,"The leaflet was pinned to the board with a small fishing hook."
ferry,lib/ferry_voice.swf:ferry_023,nathan,"Somehow I feel like someone is watching me..."
ferry,lib/ferry_voice.swf:ferry_024,nathan,"I'll have to take the long way through the fields ..."
ferry,lib/ferry_voice.swf:ferry_025,nathan,"There's a boat at anchor."
ferry,lib/ferry_voice.swf:ferry_026,sailor,"Aye. That's me ship, the ""Sea Cucumber""."
ferry,lib/ferry_voice.swf:ferry_027,nathan,"Excuse me! May I borrow your boat?"
ferry,lib/ferry_voice.swf:ferry_028,sailor,"Sorry. I can't lend you my boat."
ferry,lib/ferry_voice.swf:ferry_029,sailor,"Shroom and me, we'll have to get going soon..."
ferry,lib/ferry_voice.swf:ferry_030,sailor,"We have to deliver these boxes before sunrise."
ferry,lib/ferry_voice.swf:ferry_031,nathan,"It's a rowboat."
ferry,lib/ferry_voice.swf:ferry_036,nathan,"He's asleep."
ferry,lib/ferry_voice.swf:ferry_037,nathan,"It looks like he's running in his dream."
ferry,lib/ferry_voice.swf:ferry_038,shroom,"..."
ferry,lib/ferry_voice.swf:ferry_039,nathan,"Hey old boy!"
ferry,lib/ferry_voice.swf:ferry_040,nathan,"Want to help me?"
ferry,lib/ferry_voice.swf:ferry_041,sailor,"Old Shroom is tired. He won't help you if you have nothin' to offer."
ferry,lib/ferry_voice.swf:ferry_042,nathan,"What would he like to have?"
ferry,lib/ferry_voice.swf:ferry_043,sailor,"He's a sailor, like me. Therefore he loves fish... Just like me."
ferry,lib/ferry_voice.swf:ferry_044,sailor,"Right boy?"
ferry,lib/ferry_voice.swf:ferry_046,nathan,"I'll let him sleep."
ferry,lib/ferry_voice.swf:ferry_047,nathan,"Here, I heard you like fish..."
ferry,lib/ferry_voice.swf:ferry_048,nathan,"Good idea ... but I think he's too tired."
ferry,lib/ferry_voice.swf:ferry_049,nathan,"It seems that I have his attention now."
ferry,lib/ferry_voice.swf:ferry_050,nathan,"Shroom, old chap. How are you?"
ferry,lib/ferry_voice.swf:ferry_052,nathan,"That's great to hear."
ferry,lib/ferry_voice.swf:ferry_053,nathan,"I'd better not."
ferry,lib/ferry_voice.swf:ferry_054,nathan,"Ahem ..."
ferry,lib/ferry_voice.swf:ferry_055,nathan,"Shroom! Come on, old boy! Find the SETA DE MUERTE!"
ferry,lib/ferry_voice.swf:ferry_056,nathan,"See? ... the name is in this book here! Have a good look at it."
ferry,lib/ferry_voice.swf:ferry_057,nathan,"Wow, Shroom found a mushroom."
ferry,lib/ferry_voice.swf:ferry_058,nathan,"How convenient that it was hidden right under his nose."
ferry,lib/ferry_voice.swf:ferry_064,nathan,"No, he's done enough."
ferry,lib/ferry_voice.swf:ferry_065,nathan,"He looks a little dangerous."
ferry,lib/ferry_voice.swf:ferry_066,sailor,"What did you just say?"
